WBAN|WMO|CallSign|ClimateDivisionCode|ClimateDivisionStateCode|ClimateDivisionStationCode|Name|State|Location|Latitude|Longitude|GroundHeight|StationHeight|Barometer|TimeZone
03069||O4V||||SAGUACHE|CO|SAGUACHE MUNICIPAL AIRPORT|38.097|-106.169|99999|7826|99999|-7 
03070||DUX||||DUMAS|TX|MOORE COUNTY AIRPORT|35.858|-102.013|99999|3705|99999|-6 
03071||MDD||||MIDLAND|TX|MIDLAND AIRPARK|32.034|-102.101|99999|2803|99999|-6 
03101||SOW||||SHOW LOW|AZ|SHOW LOW MUNICIPAL AIRPORT|34.265|-110.006|0|6415|0|-7 
03102||ONT||||ONTARIO|CA|ONTARIO INTERNATIONAL ARPT|34.056|-117.600|922|905|904|-8 
03103|72375|FLG|02|02|3010|FLAGSTAFF|AZ|FLAGSTAFF PULLIAM AIRPORT|35.140|-111.672|7003|7018|7003|-7 
03104||TRM|07|04|8892|PALM SPRINGS|CA|DESERT RESORTS RGNL ARPT|33.628|-116.160|-122|-118|-116|-8 
03124||FHU||||FORT HUACHUCA/SIERRA VISTA|AZ|SIERRA VISTA MUNICIPAL-LIBBY AAF AIRPORT|31.588|-110.344|4681|4698|0|-7 
03131||MYF||||SAN DIEGO|CA|MONTGOMERY FIELD AIRPORT|32.816|-117.139|420|423|449|-8 
03144||IPL||||IMPERIAL|CA|IMPERIAL COUNTY AIRPORT|32.834|-115.579|-59|-56|-57|-8 
03145|722805|NYL||||YUMA|AZ|YUMA MCAS|32.650|-114.617|213|213|214|-7 
03148||GBN||||GILA BEND|AZ|GILA BEND AF AUX AIRPORT|32.888|-112.720|0|858|0|-7 
03154|722926|NFG||||CAMP PENDLETON|CA|MARINE CORPS AIR STATION|33.300|-117.350|660|78|71|-8 
03159||WJF|07|04|4749|LANCASTER|CA|GENERAL WILLIAM J. FOX AIRFIELD AIRPORT|34.741|-118.219|2338|2339|2371|-8 
03160|72387|DRA|04|26|2251|MERCURY|NV|DESERT ROCK AIRPORT|36.621|-116.028|3230|3310|3302|-8 
03162|72371|PGA||||PAGE|AZ|PAGE MUNICIPAL AIRPORT|36.926|-111.448|4290|4310|4292|-7 
03163||P38||||CALIENTE|NV|CALIENTE AIRPORT|37.612|-114.526|4372|4373|4375|-8 
03164||CZZ||||CAMPO|CA|CAMPO|32.617|-116.467|2650|2615|2615|-8 
03165||EMT||||EL MONTE|CA|EL MONTE AIRPORT|34.086|-118.035|0|296|0|-8 
03166||FUL||||FULLERTON|CA|FULLERTON MUNICIPAL ARPT|33.872|-117.979|85|96|120|-8 
03167||HHR||||HAWTHORNE|CA|NRTHORP FLD/HATHRN MUNI AP|33.923|-118.334|60|63|62|-8 
03170||P68||||EUREKA|NV|EUREKA|39.601|-116.006|5936|5936|5942|-8 
03171||RAL||||RIVERSIDE|CA|RIVERSIDE MUNICIPAL ARPT|33.952|-117.439|750|831|829|-8 
03174||TOA||||TORRANCE|CA|ZAMPERINE FIELD AIRPORT|33.803|-118.339|0|103|0|-8 
03177||CRQ||||CARLSBAD|CA|MCCLELLAN-PALOMAR AIRPORT|33.128|-117.279|310|328|329|-8 
03178||SDM||||SAN DIEGO|CA|BROWN FIELD MUNICIPAL ARPT|32.572|-116.979|520|524|543|-8 
03179||CNO||||CHINO|CA|CHINO AIRPORT|33.975|-117.636|632|681|682|-8 
03180||POC||||LA VERNE|CA|BRACKETT FIELD AIRPORT|34.092|-117.782|0|1011|0|-8 
03181||MMH||||MAMMOTH LAKES|CA|MAMMOTH YOSEMITE AIRPORT|37.457|-118.838|0|7128|0|-8 
03183||MHV||||MOJAVE|CA|MOJAVE AIRPORT|35.059|-118.152|0|2791|0|-8 
03184||DVT||||PHOENIX|AZ|PHOENIX DEER VALLEY ARPT|33.688|-112.082|1485|1476|1458|-7 
03185||FFZ||||MESA|AZ|FALCON FIELD AIRPORT|33.461|-111.728|0|1394|0|-7 
03186||GYR||||GOODYEAR|AZ|PHOENIX GOODYEAR AIRPORT|33.423|-112.376|0|968|0|-7 
03192||SDL||||SCOTTSDALE|AZ|SCOTTSDALE AIRPORT|33.623|-111.911|1473|1510|1469|-7 
03195||GCN||||GRAND CANYON|AZ|GRAND CANYON NATL PARK APT|35.946|-112.155|6532|6606|6711|-7 
03196||OLS||||NOGALES|AZ|NOGALES INTERNATIONAL ARPT|31.421|-110.846|3908|3932|3887|-7 
03701||CPK||||NORFOLK|VA|CHESAPEAKE REGIONAL ARPT|36.666|-76.317|20|20||-5 
03702||DPL||||KENANSVILLE|NC|DUPLIN COUNTY AIRPORT|35.000|-77.968|137|137||-5 
03703||EDE||||EDENTON|NC|NORTHEASTERN REGIONAL ARPT|36.028|-76.567|20|20||-5 
03704||EMV||||EMPORIA|VA|EMPORIA-GRENVLE RGNL ARPT|36.687|-77.468|127|127||-5 
03705||EYF||||ELIZABETHTOWN|NC|CURTIS L BROWN JR FLD ARPT|34.602|-78.568|133|133||-5 
03706||EZF||||FREDRICKSBURG|VA|SHANNON AIRPORT|38.267|-77.435|85|85||-5 
03707||FVX||||FARMVILLE|VA|FARMVILLE REGIONAL AIRPORT|37.358|-78.434|417|417||-5 
03708||GWW||||GOLDSBORO|NC|GOLDSBORO-WAYNE MUNI ARPT|35.460|-77.951|134|134||-5 
03709||HBI||||ASHEBORO|NC|ASHEBORO MUNICIPAL AIRPORT|35.654|-79.884|673|673||-5 
03710||HEF||||MANASSAS|VA|MANSAS RGNL/H P DAVS FD AP|38.721|-77.501|192|192||-5 
03711||HNZ||||OXFORD|NC|HENDERSON-OXFORD AIRPORT|36.361|-78.518|527|527||-5 
03712||HRJ||||ERWIN|NC|HARNETT COUNTY AIRPORT|35.379|-78.733|198|198||-5 
03713||JNX||||SMITHFIELD|NC|JOHNSTON COUNTY AIRPORT|35.541|-78.384|165|165||-5 
03714||JYO||||LEESBURG|VA|LESSBURG EXECUTIVE AIRPORT|39.078|-77.551|389|389||-5 
03715||LKU||||LOUISA|VA|LOUISA CO/FREEMAN FLD ARPT|38.010|-77.967|493|493||-5 
03716||MFV||||MELFA|VA|ACCOMACK COUNTY AIRPORT|37.647|-75.751|47|47||-5 
03717||OKV||||WINCHESTER|VA|WINCHESTER REGIONAL ARPT|39.143|-78.134|727|727||-5 
03718||OMH||||ORANGE|VA|ORANGE COUNTY AIRPORT|38.247|-78.034|469|469||-5 
03719||SFQ||||SUFFOLK|VA|SUFFOLK MUNICIPAL AIRPORT|36.682|-76.600|72|72||-5 
03720||SOP||||PINEHURST/SOUTHERN P|NC|MOORE COUNTY AIRPORT|35.237|-79.384|461|461||-5 
03721||SUT||||OAK ISLAND|NC|BRUNSWICK COUNTY AIRPORT|33.929|-78.067|25|25||-5 
