WBAN|WMO|CallSign|ClimateDivisionCode|ClimateDivisionStateCode|ClimateDivisionStationCode|Name|State|Location|Latitude|Longitude|GroundHeight|StationHeight|Barometer|TimeZone
13724||ATLN|03|28|0325|ATLANTIC CITY C.O.|NJ|ATLANTIC CITY MARINA|39.383|-74.433|11|11|11|-5 
13728||DAN||||DANVILLE|VA|DANVILLE REGIONAL AIRPORT|36.573|-79.336|556|590|584|-5 
13729|72417|EKN|04|46|2718|ELKINS|WV|ELKINS-RAND CO-J.RAND FIELD AIRPORT|38.885|-79.853|1979|1979|1982|-5 
13730||FDK||||FREDERICK|MD|FREDERICK MUNICIPAL ARPT|39.418|-77.367|303|303||-5 
13733|72410|LYH|03|44|5120|LYNCHBURG|VA|LYNCHBURG RGNL/PRESTON GLENN FLD AP|37.338|-79.207|897|938|1000|-5 
13734||MRB|06|46|5707|MARTINSBURG|WV|ETRN WV RGNL/SHPHERD FD AP|39.402|-77.984|539|534|542|-5 
13735||MIV|02|28|5581|MILLVILLE|NJ|MILLVILLE MUNICIPAL ARPT|39.366|-75.078|58|76|78|-5 
13736||MGW|02|46|6202|MORGANTOWN|WV|MGTN RGNL-W L B HART FD AP|39.643|-79.916|1220|1253|1245|-5 
13737|72308|ORF|01|44|6139|NORFOLK|VA|NORFOLK INTERNATIONAL AIRPORT|36.904|-76.192|13|30|69|-5 
13739|72408|PHL|03|36|6889|PHILADELPHIA|PA|PHILADELPHIA INTERNATIONAL AIRPORT|39.868|-75.231|7|28|62|-5 
13740|72401|RIC|02|44|7201|RICHMOND|VA|RICHMOND INTERNATIONAL AIRPORT|37.511|-77.323|163|163|167|-5 
13741|72411|ROA|05|44|7285|ROANOKE|VA|ROANOKE REGIONAL/WOODRUM FIELD AP|37.317|-79.974|1135|1176|1192|-5 
13743|72405|DCA|04|44|8906|WASHINGTON|DC|RONALD REAGAN WASHINGTON NATL AP|38.865|-77.034|10|65|3|-5 
13744||FLO|04|38|3106|FLORENCE|SC|FLORENCE REGIONAL AIRPORT|34.188|-79.731|140|151|179|-5 
13748|72301|ILM|06|31|9457|WILMINGTON|NC|WILMINGTON INTERNATIONAL AIRPORT|34.268|-77.906|24|38|33|-5 
13750|723085|NGU||||NORFOLK|VA|NORFOLK NAS|36.933|-76.283|15|16|34|-5 
13752||NAK||||ANNAPOLIS|MD|U.S. NAVAL ACADEMY|38.991|-76.483|0|7|0|-5 
13754|723090|NKT||||CHERRY POINT|NC|CHERRY POINT MCAS|34.900|-76.883|27|29|37|-5 
13762||NFE||||FENTRESS|VA|NAVAL AUXILIARY LANDING FIELD|36.695|-76.136|16|16|16|-5 
13763||FKN||||FRANKLIN|VA|FRANKLIN MUNICIPAL-JOHN BEVERLY ROSE AIRPORT|36.698|-76.900|41|41||-5 
13764||GED||||GEORGETOWN|DE|SUSSEX COUNTY AIRPORT|38.689|-75.359|51|51|66|-5 
13766||MQI||||MANTEO|NC|DARE COUNTY REGIONAL AIRPORT|35.919|-75.684|14|14||-5 
13769|723075|NTU||||OCEANA|VA|OCEANA NAS|36.817|-76.033|22|22|30|-5 
13773|724035|NYG||||QUANTICO|VA|QUANTICO MCAF|38.500|-77.300|8|12|14|-5 
13776||LBT||||LUMBERTON|NC|LUMBERTON MUNICIPAL ARPT|34.610|-79.059|121|126|126|-5 
13777||0470|06|18|0470|BALTIMORE|MD|BALIMORE CUSTOM HOUSE|39.281|-76.610|18|19|19|-5 
13781|72408|ILG|01|07|9595|WILMINGTON|DE|NEW CASTLE COUNTY AIRPORT|39.673|-75.601|75|80|77|-5 
13782||CHLS|07|38|1549|CHARLESTON C.O.|SC|CUSTOM HOUSE (CITY OFC)|32.783|-79.933|9|12|12|-5 
13783||PGV||||GREENVILLE|NC|PITT-GREENVILLE AIRPORT|35.635|-77.383|27|27||-5 
13786|74694|ECG|08|31|2719|ELIZABETH CITY|NC|ELZ CTY CG/AIR STN RGNL AP|36.261|-76.175|7|13|41|-5 
13802||BLV||||BELLEVILLE|IL|SCOTT AIR FORCE BASE/MIDAMERICA AIRPORT|38.545|-89.835|0|459|0|-6 
13803||BAK||||COLUMBUS|IN|COLUMBUS MUNICIPAL AIRPORT|39.262|-85.896|0|656|0|-5 
13806||HOP||||FORT CAMPBELL/HOPKINSVILLE|KY|CAMPBELL AAF AIRPORT|36.673|-87.492|0|573|0|-6 
13807||FTK||||FORT KNOX|KY|GODMAN AAF AIRPORT|37.907|-85.972|0|780|0|-5 
13809||LWV||||LAWRENCEVILLE|IL|LRNCVLL-VINCNES INTL ARPT|38.764|-87.606|429|430|433|-6 
13810||LOU||||LOUISVILLE|KY|BOWMAN FIELD AIRPORT|38.228|-85.664|517|556|542|-5 
13812||LCK||||COLUMBUS|OH|RICKENBACKER INTL AIRPORT|39.814|-82.918|744|744||-5 
13814||BYH||||BLYTHEVILLE|AR|ARKANSAS INTERNATIONAL AIRPORT|35.964|-89.943|0|251|0|-6 
13820||BIX||||BILOXI|MS|KEESLER AIR FORCE BASE|30.411|-88.924|0|34|0|-6 
13821||MXF||||MONTGOMERY|AL|MAXWELL AFB AIRPORT|32.379|-86.363|0|172|0|-6 
13824||SVN||||SAVANNAH|GA|HUNTER ARMY AIRFIELD|32.010|-81.146|0|42|0|-5 
13825||CBM||||COLUMBUS|MS|COLUMBUS AFB AIRPORT|33.644|-88.444|0|219|0|-6 
13827||MQY||||SMYRNA|TN|SMYRNA AIRPORT|36.009|-86.520|0|543|0|-6 
13829||LSF||||FORT BENNING (COLUMBUS)|GA|LAWSON AAF AIRPORT|32.338|-84.992|0|232|0|-5 
13833||HBG||||HATTIESBURG|MS|BOBBY L CHAIN MUNI AIRPORT|31.265|-89.253|147|151|147|-6 
13837||DNL||||AUGUSTA|GA|DANIEL FIELD AIRPORT|33.467|-82.039|412|423|429|-5 
13838||BFM||||MOBILE|AL|MOBILE DOWNTOWN AIRPORT|30.626|-88.068|16|26|78|-6 
13839||DHN||||DOTHAN|AL|DOTHAN REGIONAL AIRPORT|31.321|-85.450|370|353|429|-6 
13840||FFO||||DAYTON|OH|WRIGHT-PATTERSON AFB AIRPORT|39.826|-84.048|0|823|0|-5 
13841||ILN||||WILMINGTON|OH|AIRBORNE AIRPARK AIRPORT|39.420|-83.822|1058|1071|1092|-5 
13846||PAM||||PANAMA CITY|FL|TYNDALL AFB AIRPORT|30.070|-85.576|0|18|0|-6 
13849||SSC||||SUMTER|SC|SHAW AIR FORCE BASE|33.973|-80.473|0|242|0|-5 
13857||VAD||||VALDOSTA|GA|MOODY AFB AIRPORT|30.968|-83.193|0|235|0|-5 
13858||VPS||||VALPARAISO|FL|EGLIN AFB AIRPORT|30.483|-86.525|0|87|0|-6 
13860||WRB||||WARNER ROBINS|GA|ROBINS AFB AIRPORT|32.640|-83.592|0|295|0|-5 
13861|72213|AYS||09|9192|WAYCROSS|GA|WAYCROSS-WARE CO. AIRPORT|31.249|-82.395|142|142||-5 
13864||MGE||||MARIETTA|GA|DOBBINS AIR RESERVE BASE AIRPORT|33.915|-84.516|0|1068|0|-5 
13865|72234|MEI|09|22|5776|MERIDIAN|MS|KEY FIELD AIRPORT|32.333|-88.751|290|310|292|-6 
13866|72414|CRW|03|46|1570|CHARLESTON|WV|YEAGER AIRPORT|38.379|-81.591|910|982|1026|-5 
13868||PSK||||DUBLIN|VA|NEW RIVER VALLEY AIRPORT|37.137|-80.668|2105|2105||-5 
13869||ABY||||ALBANY|GA|SW GEORGIA REGIONAL ARPT|31.536|-84.194|190|193|207|-5 
13870||AMG|09|09|0211|ALMA|GA|BACON COUNTY AIRPORT|31.536|-82.507|193|206|196|-5 
13871||ANB|04|01|0272|ANNISTON|AL|ANNISTON METROPOLITAN ARPT|33.588|-85.858|596|600|603|-6 
13873|72311|AHN|02|09|0435|ATHENS|GA|ATHENS/BEN EPPS AIRPORT|33.948|-83.327|800|802|802|-5 
13874|72219|ATL|02|09|0451|ATLANTA|GA|HARTSFIELD-JACKSON ATLANTA INTL AP|33.640|-84.427|998|1026|974|-5 
13876|72228|BHM|02|01|0831|BIRMINGHAM|AL|BIRMINGHAM INTERNATIONAL AIRPORT|33.564|-86.754|615|630|630|-6 
13877||TRI|01|40|1094|BRISTOL/JHNSN CTY/KNGSPRT|TN|TRI-CITIES REGIONAL TN/VA AIRPORT|36.480|-82.399|1500|1525|1539|-5 
13878||SSI|09|09|1345|BRUNSWICK|GA|MALCOLM MC KINNON AIRPORT|31.252|-81.391|19|24|23|-5 
13880|72208|CHS|07|38|1544|CHARLESTON|SC|CHARLESTON AFB/INTERNATIONAL AIRPORT|32.899|-80.041|39|48|48|-5 
13881|72314|CLT|05|31|1690|CHARLOTTE|NC|CHARLOTTE/DOUGLAS INTERNATIONAL AP|35.214|-80.944|700|769|724|-5 
13882|72324|CHA|01|40|1656|CHATTANOOGA|TN|LOVELL FIELD AIRPORT|35.033|-85.200|671|688|691|-5 
13883|72310|CAE|06|38|1939|COLUMBIA|SC|COLUMBIA METROPOLITAN AIRPORT|33.942|-81.118|225|225|243|-5 
13884||CEW|01|08|1986|CRESTVIEW|FL|BOB SIKES AIRPORT|30.780|-86.523|160|185|185|-6 
13886||GMU||||GREENVILLE|SC|GREENVILLE DOWNTOWN ARPT|34.846|-82.346|1006|1048|1037|-5 
13889|72206|JAX|02|08|4358|JACKSONVILLE|FL|JACKSONVILLE INTERNATIONAL AIRPORT|30.494|-81.693|26|32|34|-5 
13891|72326|TYS|01|40|4950|KNOXVILLE|TN|MC GHEE TYSON AIRPORT|35.818|-83.986|962|980|982|-5 
13893|72334|MEM|04|40|5954|MEMPHIS|TN|MEMPHIS INTERNATIONAL AIRPORT|35.061|-89.985|305|332|286|-6 
13894|72223|MOB|08|01|5478|MOBILE|AL|MOBILE REGIONAL AIRPORT|30.688|-88.246|215|221|212|-6 
13895|72226|MGM|06|01|5550|MONTGOMERY|AL|MONTGOMERY RGNL (DANNELLY FD) AP|32.301|-86.394|125|202|230|-6 
13896||MSL|01|01|5749|MUSCLE SHOALS|AL|NORTH WEST ALABAMA REGIONAL AIRPORT|34.745|-87.610|544|562|543|-6 
13897|72327|BNA|03|40|6402|NASHVILLE|TN|NASHVILLE INTERNATIONAL AIRPORT|36.119|-86.689|600|605|574|-6 
13899|72222|PNS|01|08|6997|PENSACOLA|FL|PENSACOLA REGIONAL AIRPORT|30.473|-87.188|112|118|127|-6 
13902||LTS||||ALTUS|OK|ALTUS AFB AIRPORT|34.658|-99.267|0|1382|0|-6 
13904||AUS|07|41|0429|AUSTIN/BERGSTROM|TX|AUSTIN-BERGSTROM INTL AIRPORT|30.179|-97.681|487|495|661|-6 
13909||END||||ENID|OK|VANCE AIR FORCE BASE|36.339|-97.994|0|1307|0|-6 
13910||DYS||||ABILENE|TX|DYESS AIR FORCE BASE|32.421|-99.855|0|1789|0|-6 
13911||NFW||||FORT WORTH|TX|FORT WORTH NAVAL AIR STATION JRB/CARSWELL FIELD|32.769|-97.441|99999|650|99999|-6 
13919||TIK||||OKLAHOMA CITY|OK|TINKER AFB AIRPORT|35.415|-97.386|0|1291|0|-6 
13920||FOE||||TOPEKA|KS|FORBES FIELD AIRPORT|38.950|-95.664|1033|1079|1067|-6 
13925||SGT||||STUTTGART|AR|STUTTGART MUNICIPAL ARPT|34.600|-91.567|224|224||-6 
13926||GVT||||GREENVILLE|TX|MAJORS AIRPORT|33.068|-96.065|0|535|0|-6 
13927||HKS||||JACKSON|MS|HAWKINS FIELD AIRPORT|32.335|-90.223|337|342|312|-6 
13930||SZL||||KNOB NOSTER|MO|WHITEMAN AFB AIRPORT|38.730|-93.548|0|871|0|-6 
13932||WLD||||WINFIELD/ARKANSAS CITY|KS|STROTHER FIELD AIRPORT|37.168|-97.037|1156|1160|1152|-6 
13935||ESF||16|0104|ALEXANDRIA|LA|ESLER REGIONAL AIRPORT|31.395|-92.296|93|118|97|-6 
13939||GLH||||GREENVILLE|MS|MID DELTA REGIONAL AIRPORT|33.483|-90.986|126|129|150|-6 
13940||GBD||||GREAT BEND|KS|GREAT BEND MUNICIPAL ARPT|38.340|-98.851|1886|1886||-6 
13941||CWF||||LAKE CHARLES|LA|CHENNAULT INTERNATIONAL AP|30.211|-93.134|17|17||-6 
13942||MLU|02|16|6303|MONROE|LA|MONROE REGIONAL AIRPORT|32.511|-92.038|75|81|133|-6 
13944||BAD||||BOSSER CITY|LA|BARKSDALE AIR FORCE BASE|32.502|-93.663|0|166|0|-6 
13945||FSI||||FORT SILL|OK|HENRY POST AAF AIRPORT|34.650|-98.402|0|1188|0|-6 
13947||FRI||||FORT RILEY (JUNCTION CITY)|KS|MARSHALL ARMY AIRFIELD|39.055|-96.764||1063||-6 
13957|72248|SHV|01|16|8440|SHREVEPORT|LA|SHREVEPORT REGIONAL AIRPORT|32.447|-93.824|229|259|274|-6 
13958|72254|ATT|07|41|0428|AUSTIN/CITY|TX|CAMP MABRY ARMY NATIONAL GUARD|30.317|-97.767|655|658|696|-6 
13959||ACT|03|41|9419|WACO|TX|WACO REGIONAL AIRPORT|31.611|-97.229|499|508|516|-6 
13960|72258|DAL|03|41|2244|DALLAS|TX|DALLAS LOVE FIELD AIRPORT|32.847|-96.851|475|488|512|-6 
13961||FTW|03|41|3284|FORT WORTH|TX|FT WORTH MEACHAM INTL ARPT|32.819|-97.361|615|706|705|-6 
13962|72266|ABI|02|41|0016|ABILENE|TX|ABILENE REGIONAL AIRPORT|32.411|-99.682|1786|1790|1787|-6 
13963|72340|LIT|05|03|4248|LITTLE ROCK|AR|ADAMS FIELD AIRPORT|34.747|-92.233|253|257|292|-6 
13964|72344|FSM|04|03|2574|FORT SMITH|AR|FORT SMITH REGIONAL AIRPORT|35.334|-94.365|445|462|480|-6 
13966|72351|SPS|02|41|9729|WICHITA FALLS|TX|SHEPPARD AFB/WICHITA FALLS MUNI AP|33.979|-98.493|1009|1030|1013|-6 
13967|72353|OKC|05|34|6661|OKLAHOMA CITY|OK|WILL ROGERS WORLD AIRPORT|35.389|-97.600|1274|1304|1284|-6 
13968|72356|TUL|03|34|8992|TULSA|OK|TULSA INTERNATIONAL AIRPORT|36.198|-95.886|640|676|742|-6 
13969||PNC|02|34|7201|PONCA CITY|OK|PONCA CITY REGIONAL ARPT|36.731|-97.100|1008|998|1013|-6 
13970|72230|BTR|06|16|0549|BATON ROUGE|LA|BATON ROUGE METRO RYAN FIELD AIRPORT|30.537|-91.147|67|76|70|-6 
13971||HRO|01|03|3165|HARRISON|AR|BOONE COUNTY AIRPORT|36.261|-93.155|1361|1385|1380|-6 
13972||TYR||41|9207|TYLER|TX|TYLER POUNDS REGIONAL ARPT|32.354|-95.402|528|551|531|-6 
13973|74740|JCT||41|4671|JUNCTION|TX|KIMBLE COUNTY AIRPORT|30.511|-99.766|1711|1749|1707|-6 
13975||GAG|01|34|3407|GAGE|OK|GAGE AIRPORT|36.297|-99.775|2190|2202|2195|-6 
13976||LFT|08|16|5026|LAFAYETTE|LA|LAFAYETTE REGIONAL AIRPORT|30.205|-91.988|40|42|41|-6 
13977||TXK|07|03|7048|TEXARKANA|AR|TEXARKANA REGIONAL AIRPORT-WEBB FIELD|33.454|-94.008|379|399|394|-6 
13978||GWO|04|22|3627|GREENWOOD|MS|GREENWOOD-LEFLORE AIRPORT|33.496|-90.084|147|133|149|-6 
13981||CNU|09|14|1427|CHANUTE|KS|CHANUTE MARTIN JOHNSON APT|37.670|-95.484|985|1011|978|-6 
13984|72458|CNK|02|14|1767|CONCORDIA|KS|BLOSSER MUNICIPAL AIRPORT|39.549|-97.652|1469|1484|1472|-6 
13985|72451|DDC|07|14|2164|DODGE CITY|KS|DODGE CITY REGIONAL AIRPORT|37.773|-99.970|2576|2592|2590|-6 
13986||HUT||14|3926|HUTCHINSON|KS|HUTCHINSON MUNICIPAL ARPT|38.068|-97.861|1523|1542|1535|-6 
13987||JLN|04|23|4315|JOPLIN|MO|JOPLIN REGIONAL AIRPORT|37.149|-94.498|972|985|985|-6 
13988||MKC|01|23|4359|KANSAS CITY|MO|C.R. WHEELER DOWNTOWN ARPT|39.123|-94.593|743|750|749|-6 
13989||EMP||14|2543|EMPORIA|KS|EMPORIA MUNICIPAL AIRPORT|38.331|-96.190|1205|1206|1208|-6 
13993||STJ||23|7435|ST JOSEPH|MO|ROSECRANS MEMORIAL AIRPORT|39.774|-94.907|810|818|828|-6 
13994|72434|STL|02|23|7455|ST LOUIS|MO|LAMBERT-ST LOUIS INTERNATIONAL AP|38.753|-90.374|654|710|710|-6 
13995|72440|SGF|04|23|7976|SPRINGFIELD|MO|SPRINGFIELD-BRANSON REGIONAL AIRPORT|37.240|-93.390|1262|1270|1280|-6 
13996|72456|TOP|06|14|8167|TOPEKA|KS|PHILIP BILLARD MUNICIPAL AIRPORT|39.073|-95.626|884|885|883|-6 
13997||VIH|05|23|8614|ROLLA/VICHY|MO|ROLLA NATIONAL AIRPORT|38.128|-91.769|1102|1137|1127|-6 
13999||CLK||||CLINTON|OK|CLINTON REGIONAL AIRPORT|35.538|-98.933|0|1615|0|-6 
14503||329||||STEPHENVILLE||STEPHENVILLE, NFLD.|48.533|-58.550|226|226||-4 
14506||358||||St. John's||St. John's, Nfld|47.617|-52.733|439|439||-4 
14509||338||||GANDER||GANDER INT. AIRPORT, NFLD.|48.950|-54.567|495|495||-4 
14516||126||||TWILLINGATE||TWILLINGATE METEOROLOGICAL AERO SYSTEM|49.683|-54.800|302|302||-4 
14521||316||||St. John's West CDA CS||St. John's West CDA CS, Nfld.|47.517|-52.783|374|374||-4 
14533||105||||ARGENTIA||ARGENTIA, NFLD|47.300|-54.000|52|52||-4 
14538||288||||SAGONA ISLAND||SAGONA ISLAND METEOROLOGICAL AERO SYSTEM|47.367|-55.800|115|115||-4 
14539||313||||ROCKY HARBOUR CS||ROCKY HARBOUR CS, NFLD.|49.567|-57.883|223|223||-4 
14540||317||||TERRA NOVA NATIONAL PARK CS||TERRA NOVA NATIONAL PARK CS, N FLD.|48.550|-53.967|351|351||-4 
14604||PQI||||PRESQUE ISLE|ME|NERN MAINE RGNL ARPT AT PRESQUE IS AIRPORT|46.689|-68.034|534|534||-5 
14605||AUG|02|17|0275|AUGUSTA|ME|AUGUSTA STATE AIRPORT|44.321|-69.797|351|360|362|-5 
14606||BGR|02|17|0355|BANGOR|ME|BANGOR INTERNATIONAL ARPT|44.808|-68.824|148|192|197|-5 
14607|72712|CAR|01|17|1175|CARIBOU|ME|CARIBOU MUNICIPAL AIRPORT|46.867|-68.033|621|624|626|-5 
14609||HUL|01|17|3892|HOULTON|ME|INTERNATIONAL AIRPORT|46.123|-67.792|475|476|496|-5 
14610||MLT||17|5309|MILLINOCKET|ME|MILLINOCKET MUNICIPAL ARPT|45.648|-68.686|402|402|408|-5 
14611|743920|NHZ||||BRUNSWICK|ME|NAVAL AIR STATION|43.900|-69.933|77|75|84|-5 
14615||WVL||||WATERVILLE|ME|WATERVILLE ROBERT LAFLEUR ARPT|44.533|-69.668|333|333||-5 
14616||BHB||||BAR HARBOR|ME|HANCOCK CO-BAR HARBOR ARPT|44.442|-68.367|85|85||-5 
14625||336||||MONCTON||MONCTON, N. B.|46.117|-64.683|233|233||-4 
14631||375||||CHATHAM||CHATHAM|47.000|-65.450|102|102||-5 
14633||321||||SHEARWATER||SHEARWATER, N. S.|44.633|-63.500|167|167||-4 
14636||362||||GREENWOOD||GREENWOOD, N. S.|44.983|-64.917|92|92||-4 
14643||341||||SAINT JOHN||SAINT JOHN, N. B.|45.333|-65.883|338|338||-4 
14644||131||||SAINT PAUL ISLAND||SAINT PAUL ISLAND METEOROLOGICAL AERO SYS|47.233|-60.133|85|85||-4 
14645||245||||SUMMERSIDE||SUMMERSIDE AUTOMATIC WEATHER SYSTEM|46.433|-63.850|79|79||-4 
14646||339||||SYDNEY||SYDNEY, N. S.|46.167|-60.050|784|784||-4 
14648||325||||FREDERICTON||FREDERICTON, N. B.|45.867|-66.533|56|56||-4 
14668||272||||WESTERN HEAD||WESTERN HEAD, N. S.|43.983|-64.667|30|30||-4 
14673||328||||HALIFAX||HALIFAX INTERNATIONAL AIRPORT|44.883|-63.500|476|476||-4 
14690||372||||ST STEPHEN||ST STEPHEN, N.B.|45.217|-67.250|85|85||-5 
14691||102||||AMHERST||AMHERST, N. S.|45.850|-64.267|72|72||-4 
14695||135||||EAST POINT||EAST POINT, P. E. I|46.450|-61.967|36|36||-4 
14696||150||||ILES-DE-LA-MADELEIN||ILES-DE-LA-MADELEIN|47.417|-61.800|33|33||-4 
14699||378||||PORT MENIER||PORT MENIER|49.833|-64.300|174|174||-5 
14702||BED||||BEDFORD|MA|LAURENCE G HANSCOM FLD APT|42.470|-71.289|134|133|129|-5 
14703||CEF||||SPRINGFIELD/CHICOPEE|MA|WESTOVER AFB/METROPOLITAN AIRPORT|42.198|-72.534|0|245|0|-5 
14704||FMH||||FALMOUTH|MA|OTIS ANGB AIRPORT|41.658|-70.521|0|132|0|-5 
14706||WRI||||WRIGHTSTOWN|NJ|MCGUIRE AFB AIRPORT|40.016|-74.593|0|133|0|-5 
14707||GON||||GROTON NEW LONDON|CT|GROTON-NEW LONDON AIRPORT|41.328|-72.049|5|10|24|-5 
14710||MHT||||MANCHESTER|NH|MANCHESTER AIRPORT|42.933|-71.438|228|232|269|-5 
14711|72511|MDT|04|36|5703|HARRISBURG|PA|HARRISBURG INTERNATIONAL AIRPORT|40.194|-76.763|300|312|314|-5 
14712||RDG||||READING|PA|RDNG RGNL/C A SPAATZ FD AP|40.373|-75.959|333|353|362|-5 
14714||SWF||||NEWBURGH|NY|STEWART INTERNATIONAL AIRPORT|41.504|-74.105|0|491|0|-5 
14715||GTB||||FORT DRUM|NY|WHEELER-SACK AAF AIRPORT|44.052|-75.722|0|691|0|-5 
14719||FOK||||WESTHAMPTON BEACH|NY|FRANCIS S GABRESKI AIRPORT|40.844|-72.632|43|67|112|-5 
14732|72503|LGA|04|30|5811|NEW YORK|NY|LA GUARDIA AIRPORT|40.779|-73.881|11|31|39|-5 
14733|72528|BUF|09|30|1012|BUFFALO|NY|BUFFALO NIAGARA INTERNATIONAL AP|42.941|-78.736|710|705|717|-5 
14734|72502|EWR|01|28|6026|NEWARK|NJ|NEWARK LIBERTY INTERNATIONAL AP|40.716|-74.169|7|30|28|-5 
14735|72518|ALB|05|30|0042|ALBANY|NY|ALBANY INTERNATIONAL AIRPORT|42.748|-73.803|280|292|281|-5 
14736||AOO|08|36|0130|ALTOONA|PA|ALTOONA-BLAIR COUNTY ARPT|40.300|-78.317|1468|1469|1495|-5 
14737|72517|ABE|02|36|0106|ALLENTOWN|PA|LEHIGH VALLEY INTERNATIONAL AIRPORT|40.651|-75.449|385|385|378|-5 
14739|72509|BOS|03|19|0770|BOSTON|MA|GEN E L LOGAN INTERNATIONAL AIRPORT|42.361|-71.011|19|30|180|-5 
14740|72508|BDL|02|06|3456|WINDSOR LOCKS|CT|BRADLEY INTERNATIONAL AIRPORT|41.938|-72.683|170|179|165|-5 
14742|72617|BTV|02|43|1081|BURLINGTON|VT|BURLINGTON INTERNATIONAL AIRPORT|44.468|-73.150|330|340|348|-5 
14745|72605|CON|02|27|1683|CONCORD|NH|CONCORD MUNICIPAL AIRPORT|43.195|-71.501|340|346|343|-5 
14747||DKK||||DUNKIRK|NY|CHAUTAUQUA CO/DUNKIRK ARPT|42.493|-79.272|665|693|667|-5 
14748||ELM||30|2615|ELMIRA/CORNING|NY|ELMIRA/CORNING RGNL ARPT|42.159|-76.892|935|954|993|-5 
14750||GFL|05|30|3294|GLENS FALLS|NY|FLOYD BENNETT MEMO AIRPORT|43.341|-73.610|320|333|340|-5 
14751|72511|CXY|04|36|3699|HARRISBURG|PA|CAPITAL CITY AIRPORT|40.217|-76.851|336|347|350|-5 
14752||HFD||06|3451|HARTFORD|CT|HARTFORD-BRAINARD AIRPORT|41.736|-72.651|14|19|18|-5 
14753|74492|MQE|02|19|0736|MILTON|MA|BLUE HILL OBSERVATORY|42.212|-71.115|629|635|657|-5 
14755|72613|MWN|01|27|5639|MT. WASHINGTON|NH|MT. WASHINGTON OBSERVATORY|44.267|-71.299|6262|6267|6274|-5 
14756||ACK||19|5159|NANTUCKET|MA|NANTUCKET MEMORIAL AIRPORT|41.253|-70.061|40|47|57|-5 
14757||POU|05|30|6820|POUGHKEEPSIE|NY|DUTCHESS COUNTY AIRPORT|41.627|-73.884|156|162|155|-5 
14758||HVN||||NEW HAVEN|CT|TWEED-NEW HAVEN AIRPORT|41.264|-72.887|5|13|14|-5 
14761||PSB|07|36|6916|PHILIPSBURG|PA|MID-STATE AIRPORT|40.884|-78.087|0|1948|0|-5 
14762||AGC||36|6992|PITTSBURGH|PA|ALLEGHENY COUNTY AIRPORT|40.355|-79.922|1240|1273|1281|-5 
14763||PSF||||PITTSFIELD|MA|PITTSFIELD MUNICIPAL ARPT|42.427|-73.289|1145|1194|1169|-5 
14764|72606|PWM|03|17|6905|PORTLAND|ME|PORTLAND INTERNATIONAL JETPORT AP|43.642|-70.304|48|63|72|-5 
14765|72507|PVD|01|37|6698|PROVIDENCE|RI|THEODORE F GREEN STATE AIRPORT|41.722|-71.433|52|62|53|-5 
14768|725291|ROC|09|30|7167|ROCHESTER|NY|GREATER ROCHESTER INTERNATIONAL AP|43.117|-77.677|538|555|588|-5 
14770||SEG||||SELINSGROVE|PA|PENN VALLEY AIRPORT|40.821|-76.864|450|450|444|-5 
14771|72519|SYR|00|30|8383|SYRACUSE|NY|SYRACUSE HANCOCK INTERNATIONAL AP|43.109|-76.103|410|417|417|-5 
14775||BAF||||WESTFIELD/SPRINGFIELD|MA|BARNES MUNICIPAL AIRPORT|42.158|-72.716|265|271|276|-5 
14777|72513|AVP|01|36|9705|WILKES-BARRE/SCRANTON|PA|WILKES-BARRE/SCRANTON INTL AIRPORT|41.339|-75.727|953|962|958|-5 
14778|72514|IPT|05|36|9728|WILLIAMSPORT|PA|WILLIAMSPORT REGIONAL AIRPORT|41.243|-76.922|525|525|543|-5 
14780|724090|NEL||||LAKEHURST|NJ|NAES/MAXFIELD FIELD|40.033|-74.350|85|103|120|-5 
14787||UUU||||NEWPORT|RI|NEWPORT STATE AIRPORT|41.530|-71.284|145|172|170|-5 
14790|725097|KNZW||||SOUTH WEYMOUTH|MA|NAVAL AIR STATION|42.150|-70.933|153|162|158|-5 
14792||TTN||||TRENTON|NJ|TRENTON MERCER AIRPORT|40.277|-74.814|190|213|197|-5 
14793|724086|NXX||||WILLOW GROVE|PA|WILLOW GROVE NAS|40.200|-75.150|335|362|365|-5 
14794||WST||||WESTERLY|RI|WESTERLY STATE AIRPORT|41.350|-71.799|65|81|72|-5 
14804||MTC||||MOUNT CLEMENS|MI|SELFRIDGE AIR NATIONAL GUARD BASE|42.613|-82.832|0|580|0|-5 
14808||OSC||||OSCODA|MI|OSCODA-WURTSMITH AIRPORT|44.453|-83.368|634|634||-5 
14813||AKR||||AKRON|OH|AKRON FULTON INTL AIRPORT|41.038|-81.464|1043|1101|1103|-5 
14815||BTL||||BATTLE CREEK|MI|W K KELLOGG AIRPORT|42.308|-85.251|928|939|929|-5 
14817||CAD||||CADILLAC|MI|WEXFORD COUNTY AIRPORT|44.275|-85.417|1307|1307||-5 
14819|72534|MDW||||CHICAGO|IL|CHICAGO MIDWAY INTL ARPT|41.786|-87.752|612|618|619|-6 
14820|72524|CLE|03|33|1657|CLEVELAND|OH|CLEVELAND-HOPKINS INTERNATIONAL AP|41.405|-81.853|778|805|805|-5 
14821|72428|CMH|05|33|1786|COLUMBUS|OH|PORT COLUMBUS INTERNATIONAL AIRPORT|39.991|-82.881|812|816|812|-5 
14822|72537|DET||20|2102|DETROIT|MI|DETROIT CITY AIRPORT|42.409|-83.010|623|626|628|-5 
